jezyk interpretowany;aplikacje www;UI;latwy poczatek;popularny jezyk;przetwarzanie danych;akademicko;zarzadzanie systemem;dedykowanie srodowiska;lubisz Oracle;aplikacje na telefon;tylko dla IOS;google bardziej niż microsoft;desktop;UI;czy gry;duże produkcje;zależy ci na wydajnosci;na mikrokontrolery;nowe technologie;wynik
1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Javascript
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PHP
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ruby
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;R
0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Java
0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;Swift
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Kotlin
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Python
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Python
1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;Python
0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;C#
0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;C#
0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;C#
0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;C#
0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;C#
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;C#
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;GO
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;Rust
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;Rust
0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;C++
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;C++
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;C
